title,info,rating,url
1+1,"Intouchables, 2011, 1 ч 52 мин",8.4,https://www.kinopoisk.ru/film/535341/
Интерстеллар,"Interstellar, 2014, 2 ч 49 мин",8.2,https://www.kinopoisk.ru/film/258687/
Побег из Шоушенка,"The Shawshank Redemption, 1994, 2 ч 22 мин",8.2,https://www.kinopoisk.ru/film/326/
Остров проклятых,"Shutter Island, 2009, 2 ч 18 мин",8.1,https://www.kinopoisk.ru/film/397667/
Джентльмены,"The Gentlemen, 2019, 1 ч 53 мин",8.1,https://www.kinopoisk.ru/film/1143242/
Зеленая миля,"The Green Mile, 1999, 3 ч 9 мин",8.1,https://www.kinopoisk.ru/film/435/
Властелин колец: Возвращение короля,"The Lord of the Rings: The Return of the King, 2003, 3 ч 21 мин",8.1,https://www.kinopoisk.ru/film/3498/
Форрест Гамп,"Forrest Gump, 1994, 2 ч 22 мин",8.1,https://www.kinopoisk.ru/film/448/
Бойцовский клуб,"Fight Club, 1999, 2 ч 19 мин",8.1,https://www.kinopoisk.ru/film/361/
Унесённые призраками,"Sen to Chihiro no kamikakushi, 2001, 2 ч 4 мин",8.0,https://www.kinopoisk.ru/film/370/
Властелин колец: Братство кольца,"The Lord of the Rings: The Fellowship of the Ring, 2001, 2 ч 58 мин",8.0,https://www.kinopoisk.ru/film/328/
Терминатор 2: Судный день,"Terminator 2: Judgment Day, 1991, 2 ч 17 мин",8.0,https://www.kinopoisk.ru/film/444/
Зеленая книга,"Green Book, 2018, 2 ч 10 мин",8.0,https://www.kinopoisk.ru/film/1108577/
Леон,"Léon, 1994, 2 ч 13 мин",7.9,https://www.kinopoisk.ru/film/389/
Гладиатор,"Gladiator, 2000, 2 ч 35 мин",7.9,https://www.kinopoisk.ru/film/474/
Властелин колец: Две крепости,"The Lord of the Rings: The Two Towers, 2002, 2 ч 59 мин",7.9,https://www.kinopoisk.ru/film/312/
